time,temperature_2m,relative_humidity_2m,precipitation,windspeed_10m,surface_pressure,cloudcover
2026-07-13T00:00,27.9,83,0.0,16.0,1005.6,69
2026-07-13T01:00,28.2,79,0.0,15.6,1005.3,81
2026-07-13T02:00,27.9,78,0.0,16.0,1004.7,95
2026-07-13T03:00,27.7,80,0.0,16.0,1004.5,88
2026-07-13T04:00,27.6,81,0.0,15.6,1004.7,88
2026-07-13T05:00,27.6,84,0.0,15.7,1004.8,63
2026-07-13T06:00,27.7,84,0.0,15.2,1005.1,60
2026-07-13T07:00,28.2,82,0.0,15.3,1006.0,76
2026-07-13T08:00,28.6,80,0.0,17.9,1006.5,67
2026-07-13T09:00,29.1,77,0.1,19.3,1006.8,44
2026-07-13T10:00,29.5,76,0.1,19.6,1007.4,54
2026-07-13T11:00,30.1,73,0.0,19.5,1007.6,61
2026-07-13T12:00,30.2,72,0.0,19.9,1007.2,96
2026-07-13T13:00,30.1,72,0.0,20.1,1007.0,97
2026-07-13T14:00,29.9,70,0.2,20.3,1006.7,100
2026-07-13T15:00,29.8,70,0.2,20.3,1006.2,95
2026-07-13T16:00,29.4,72,0.1,19.6,1005.6,95
2026-07-13T17:00,28.7,77,0.2,17.8,1005.6,80
2026-07-13T18:00,28.6,79,0.1,17.2,1006.0,71
2026-07-13T19:00,28.2,80,0.0,15.8,1006.4,53
2026-07-13T20:00,28.2,80,0.0,14.9,1007.0,67
2026-07-13T21:00,28.1,80,0.0,15.7,1007.5,97
2026-07-13T22:00,28.0,81,0.0,15.5,1007.9,100
2026-07-13T23:00,27.8,83,0.0,16.0,1008.0,100
2026-07-14T00:00,27.6,84,0.1,16.5,1007.5,99
2026-07-14T01:00,27.6,84,0.0,16.4,1006.8,73
2026-07-14T02:00,27.5,84,0.0,15.7,1006.2,83
2026-07-14T03:00,27.4,85,0.0,15.0,1005.8,73
2026-07-14T04:00,27.2,86,0.0,13.3,1005.8,95
2026-07-14T05:00,27.3,83,0.0,12.4,1005.9,79
2026-07-14T06:00,27.3,83,0.0,13.0,1006.3,90
2026-07-14T07:00,27.5,83,0.0,14.2,1007.2,75
2026-07-14T08:00,27.4,84,0.2,14.1,1007.7,85
2026-07-14T09:00,27.7,83,0.4,14.6,1008.2,98
2026-07-14T10:00,28.9,75,0.7,16.3,1008.3,98
2026-07-14T11:00,29.3,73,0.3,17.6,1008.3,94
2026-07-14T12:00,29.2,75,0.4,17.3,1007.8,77
2026-07-14T13:00,29.6,73,0.5,17.0,1007.1,36
2026-07-14T14:00,29.8,72,0.2,16.7,1006.5,22
2026-07-14T15:00,29.6,72,0.1,17.0,1006.0,24
2026-07-14T16:00,29.2,74,0.3,16.8,1005.7,34
2026-07-14T17:00,28.5,78,0.5,16.3,1005.7,25
2026-07-14T18:00,28.2,79,0.2,15.1,1006.0,21
2026-07-14T19:00,27.8,80,0.1,14.7,1006.5,53
2026-07-14T20:00,27.8,79,0.3,14.2,1007.0,93
2026-07-14T21:00,26.1,89,1.1,10.8,1007.7,96
2026-07-14T22:00,26.3,86,0.9,10.2,1008.2,56
2026-07-14T23:00,26.2,88,0.6,11.0,1008.3,84
2026-07-15T00:00,25.1,91,1.4,12.9,1007.8,56
2026-07-15T01:00,25.6,90,0.6,12.7,1007.1,100
2026-07-15T02:00,25.2,93,0.7,10.9,1006.8,93
2026-07-15T03:00,23.4,99,2.1,6.5,1006.8,96
2026-07-15T04:00,23.2,96,1.5,11.7,1006.4,100
2026-07-15T05:00,24.4,96,0.9,8.7,1006.7,80
2026-07-15T06:00,25.2,92,0.3,11.7,1006.8,80
2026-07-15T07:00,25.5,91,0.5,9.4,1007.1,100
2026-07-15T08:00,25.5,89,0.5,7.6,1007.7,100
2026-07-15T09:00,26.4,88,0.5,6.3,1008.3,98
2026-07-15T10:00,27.4,84,0.1,5.9,1008.3,73
2026-07-15T11:00,28.6,78,0.0,11.4,1008.1,46
2026-07-15T12:00,28.8,77,0.0,11.4,1007.6,57
2026-07-15T13:00,28.2,79,0.0,15.1,1006.8,64
2026-07-15T14:00,27.4,84,1.4,12.0,1006.6,98
2026-07-15T15:00,27.0,82,1.5,13.1,1006.4,70
2026-07-15T16:00,26.2,84,0.9,14.0,1006.3,54
2026-07-15T17:00,27.4,81,0.7,12.6,1006.3,32
2026-07-15T18:00,27.0,81,0.0,15.5,1006.6,36
2026-07-15T19:00,26.5,85,0.1,13.8,1006.9,94
2026-07-15T20:00,26.8,84,0.1,15.7,1007.7,100
2026-07-15T21:00,26.8,84,0.0,13.6,1008.3,86
2026-07-15T22:00,26.4,86,0.0,14.2,1008.9,91
2026-07-15T23:00,25.8,88,1.0,13.8,1008.7,92
